Scenario,Sector,Sub-Sector,Species,Units,Year,ems
BAU,off-road,TRA_OT_AGR,co2,Mt,2016,226.90800000000002
BAU,off-road,TRA_OT_RAI,co2,Mt,2016,88.73
BAU,off-road,TRA_OT_OTHER,co2,Mt,2016,62.61437553546029
BAU,off-road,TRA_OT_CNS,bc,kt,2016,89.26599999999999
BAU,off-road,TRA_OT_AGR,bc,kt,2016,120.768
BAU,off-road,TRA_OT_RAI,bc,kt,2016,42.724000000000004
BAU,off-road,TRA_OT_OTHER,bc,kt,2016,4.562598178868603
BAU,off-road,TRA_OT_CNS,ch4,kt,2016,9.326
BAU,off-road,TRA_OT_AGR,ch4,kt,2016,13.283999999999999
BAU,off-road,TRA_OT_RAI,ch4,kt,2016,5.124
BAU,off-road,TRA_OT_OTHER,ch4,kt,2016,9.783999999999999
BAU,off-road,TRA_OT_CNS,co2,Mt,2017,185.05599999999998
BAU,off-road,TRA_OT_AGR,co2,Mt,2017,231.20600000000002
BAU,off-road,TRA_OT_RAI,co2,Mt,2017,87.06
BAU,off-road,TRA_OT_OTHER,co2,Mt,2017,62.710293177979345
BAU,off-road,TRA_OT_CNS,bc,kt,2017,95.872
BAU,off-road,TRA_OT_AGR,bc,kt,2017,116.716
BAU,off-road,TRA_OT_RAI,bc,kt,2017,40.958
BAU,off-road,TRA_OT_OTHER,bc,kt,2017,4.3571046648308895
BAU,off-road,TRA_OT_CNS,ch4,kt,2017,10.772
BAU,off-road,TRA_OT_AGR,ch4,kt,2017,13.538
BAU,off-road,TRA_OT_RAI,ch4,kt,2017,5.028
BAU,off-road,TRA_OT_OTHER,ch4,kt,2017,10.197999999999999
BAU,off-road,TRA_OT_CNS,co2,Mt,2018,209.73399999999998
BAU,off-road,TRA_OT_AGR,co2,Mt,2018,235.504
BAU,off-road,TRA_OT_RAI,co2,Mt,2018,85.39
BAU,off-road,TRA_OT_OTHER,co2,Mt,2018,62.806210820498414
BAU,off-road,TRA_OT_CNS,bc,kt,2018,102.478
BAU,off-road,TRA_OT_AGR,bc,kt,2018,112.664
BAU,off-road,TRA_OT_RAI,bc,kt,2018,39.192
BAU,off-road,TRA_OT_OTHER,bc,kt,2018,4.151611150793176
BAU,off-road,TRA_OT_CNS,ch4,kt,2018,12.218
BAU,off-road,TRA_OT_AGR,ch4,kt,2018,13.792
BAU,off-road,TRA_OT_RAI,ch4,kt,2018,4.932
BAU,off-road,TRA_OT_OTHER,ch4,kt,2018,10.611999999999998
BAU,off-road,TRA_OT_CNS,co2,Mt,2019,234.41199999999998
BAU,off-road,TRA_OT_AGR,co2,Mt,2019,239.802
BAU,off-road,TRA_OT_RAI,co2,Mt,2019,83.72
BAU,off-road,TRA_OT_OTHER,co2,Mt,2019,62.902128463017476
BAU,off-road,TRA_OT_CNS,bc,kt,2019,109.084
BAU,off-road,TRA_OT_AGR,bc,kt,2019,108.612
BAU,off-road,TRA_OT_RAI,bc,kt,2019,37.425999999999995
BAU,off-road,TRA_OT_OTHER,bc,kt,2019,3.946117636755463
BAU,off-road,TRA_OT_CNS,ch4,kt,2019,13.664
BAU,off-road,TRA_OT_AGR,ch4,kt,2019,14.046000000000001
BAU,off-road,TRA_OT_RAI,ch4,kt,2019,4.836
BAU,off-road,TRA_OT_OTHER,ch4,kt,2019,11.026
BAU,off-road,TRA_OT_CNS,co2,Mt,2020,259.09
BAU,off-road,TRA_OT_AGR,co2,Mt,2020,244.1
BAU,off-road,TRA_OT_RAI,co2,Mt,2020,82.05
BAU,off-road,TRA_OT_OTHER,co2,Mt,2020,62.99804610553653
BAU,off-road,TRA_OT_CNS,bc,kt,2020,115.69
BAU,off-road,TRA_OT_AGR,bc,kt,2020,104.56
BAU,off-road,TRA_OT_RAI,bc,kt,2020,35.66
BAU,off-road,TRA_OT_OTHER,bc,kt,2020,3.7406241227177497
BAU,off-road,TRA_OT_CNS,ch4,kt,2020,15.11
BAU,off-road,TRA_OT_AGR,ch4,kt,2020,14.3
BAU,off-road,TRA_OT_RAI,ch4,kt,2020,4.74
BAU,off-road,TRA_OT_OTHER,ch4,kt,2020,11.44
BAU,off-road,TRA_OT_CNS,co2,Mt,2021,260.238
BAU,off-road,TRA_OT_AGR,co2,Mt,2021,244.442
BAU,off-road,TRA_OT_RAI,co2,Mt,2021,81.158
BAU,off-road,TRA_OT_OTHER,co2,Mt,2021,63.91389421634785
BAU,off-road,TRA_OT_CNS,bc,kt,2021,113.292
BAU,off-road,TRA_OT_AGR,bc,kt,2021,102.302
BAU,off-road,TRA_OT_RAI,bc,kt,2021,34.586
BAU,off-road,TRA_OT_OTHER,bc,kt,2021,3.658212661358875
BAU,off-road,TRA_OT_CNS,ch4,kt,2021,15.187999999999999
BAU,off-road,TRA_OT_AGR,ch4,kt,2021,14.336
BAU,off-road,TRA_OT_RAI,ch4,kt,2021,4.702
BAU,off-road,TRA_OT_OTHER,ch4,kt,2021,11.312
BAU,off-road,TRA_OT_CNS,co2,Mt,2022,261.38599999999997
BAU,off-road,TRA_OT_AGR,co2,Mt,2022,244.784
BAU,off-road,TRA_OT_RAI,co2,Mt,2022,80.266
BAU,off-road,TRA_OT_OTHER,co2,Mt,2022,64.82974232715917
BAU,off-road,TRA_OT_CNS,bc,kt,2022,110.894
BAU,off-road,TRA_OT_AGR,bc,kt,2022,100.044
BAU,off-road,TRA_OT_RAI,bc,kt,2022,33.512
BAU,off-road,TRA_OT_OTHER,bc,kt,2022,3.575801200000001
BAU,off-road,TRA_OT_CNS,ch4,kt,2022,15.266
BAU,off-road,TRA_OT_AGR,ch4,kt,2022,14.372
BAU,off-road,TRA_OT_RAI,ch4,kt,2022,4.664
BAU,off-road,TRA_OT_OTHER,ch4,kt,2022,11.184
BAU,off-road,TRA_OT_CNS,co2,Mt,2023,262.534
BAU,off-road,TRA_OT_AGR,co2,Mt,2023,245.126
BAU,off-road,TRA_OT_RAI,co2,Mt,2023,79.374
BAU,off-road,TRA_OT_OTHER,co2,Mt,2023,65.74559043797046
BAU,off-road,TRA_OT_CNS,bc,kt,2023,108.496
BAU,off-road,TRA_OT_AGR,bc,kt,2023,97.786
BAU,off-road,TRA_OT_RAI,bc,kt,2023,32.437999999999995
BAU,off-road,TRA_OT_OTHER,bc,kt,2023,3.4933897386411257
BAU,off-road,TRA_OT_CNS,ch4,kt,2023,15.344
