Scenario,Sector,Species,Units,Year,ems,Source
Striving,Construction,co2,Mt,2027,117.72530924955716,WTT
Striving,Construction,co2,Mt,2028,113.3342858801886,WTT
Striving,Construction,co2,Mt,2029,108.9792745219703,WTT
Striving,Construction,co2,Mt,2030,104.66027517490211,WTT
Striving,Construction,co2,Mt,2031,102.00524257833146,WTT
Striving,Construction,co2,Mt,2032,99.26335748428102,WTT
Striving,Construction,co2,Mt,2033,96.43461989275077,WTT
Striving,Construction,co2,Mt,2034,93.51902980374065,WTT
Striving,Construction,co2,Mt,2035,90.51658721725074,WTT
Striving,Construction,co2,Mt,2036,85.32242832960465,WTT
Striving,Construction,co2,Mt,2037,80.00822940479134,WTT
Striving,Construction,co2,Mt,2038,74.57399044281077,WTT
Striving,Construction,co2,Mt,2039,69.01971144366298,WTT
Striving,Construction,co2,Mt,2040,63.34539240734795,WTT
Striving,Construction,co2,Mt,2041,56.923073889434626,WTT
Striving,Construction,co2,Mt,2042,50.520261877560955,WTT
Striving,Construction,co2,Mt,2043,44.13695637172699,WTT
Striving,Construction,co2,Mt,2044,37.77315737193267,WTT
Striving,Construction,co2,Mt,2045,31.428864878178036,WTT
Striving,Construction,co2,Mt,2046,25.05112005053635,WTT
Striving,Construction,co2,Mt,2047,18.71936114889772,WTT
Striving,Construction,co2,Mt,2048,12.433588173262104,WTT
Striving,Construction,co2,Mt,2049,6.193801123629526,WTT
Striving,Construction,co2,Mt,2050,0.0,WTT
BAU,Construction,ch4,kt,1990,576.228910075,WTT
BAU,Construction,ch4,kt,1991,556.382074991925,WTT
BAU,Construction,ch4,kt,1992,536.53523990885,WTT
BAU,Construction,ch4,kt,1993,516.688404825775,WTT
BAU,Construction,ch4,kt,1994,496.8415697427,WTT
BAU,Construction,ch4,kt,1995,476.994734659625,WTT
BAU,Construction,ch4,kt,1996,485.590936432875,WTT
BAU,Construction,ch4,kt,1997,494.18713820612504,WTT
BAU,Construction,ch4,kt,1998,502.78333997937506,WTT
BAU,Construction,ch4,kt,1999,511.379541752625,WTT
BAU,Construction,ch4,kt,2000,519.975743525875,WTT
BAU,Construction,ch4,kt,2001,525.5585514907001,WTT
